 Metabolite_name	RefMet_name	c876	c878	c879	c880	c886	c887	c888	c889	c890	c891	m851	m852	m853	m854	m855	m881	m882	m883	m884	m885	t856	t857	t858	t859	t860	t861	t863	t864	t865
Factors	-	Treatment:control	Treatment:control	Treatment:control	Treatment:control	Treatment:control	Treatment:control	Treatment:control	Treatment:control	Treatment:control	Treatment:control	Treatment:hindlimb	Treatment:hindlimb	Treatment:hindlimb	Treatment:hindlimb	Treatment:hindlimb	Treatment:hindlimb	Treatment:hindlimb	Treatment:hindlimb	Treatment:hindlimb	Treatment:hindlimb	Treatment:hindlimb+taurine	Treatment:hindlimb+taurine	Treatment:hindlimb+taurine	Treatment:hindlimb+taurine	Treatment:hindlimb+taurine	Treatment:hindlimb+taurine	Treatment:hindlimb+taurine	Treatment:hindlimb+taurine	Treatment:hindlimb+taurine
3Hydroxybutyrate	3-Hydroxybutyric acid	0.0130	0.0108	0.0297	0.0224	0.0101	0.0256	0.0269	0.0264	0.0307	0.0147	0.0125	0.0133	0.0106	0.0192	0.0216	0.0132	0.0190	0.0123	0.0167	0.0166	0.0502	0.0373	0.0144	0.0131	0.0398	0.0178	0.0058	0.0144	0.0142
Acetate	Acetic acid	0.0728	0.0560	0.0532	0.0747	0.0559	0.0499	0.0454	0.0754	0.0550	0.0576	0.0345	0.0304	0.0463	0.0305	0.0641	0.0599	0.0600	0.0694	0.0509	0.0536	0.0624	0.0646	0.0483	0.0463	0.0457	0.0433	0.0386	0.0478	0.0539
Alanine	Alanine	1.3365	1.2895	1.1746	1.3426	1.3185	1.1086	1.0660	1.2491	1.4309	1.3391	0.9798	1.0218	1.0005	0.8535	0.9583	1.1360	0.9723	1.0216	0.9558	1.0451	0.9739	0.9583	0.9375	0.9002	0.7515	0.9286	0.7795	0.8476	0.8457
AMP	AMP	0.8329	0.8204	0.8166	0.8061	0.8403	0.8650	0.8520	0.8262	0.8377	0.8396	0.5750	0.6061	0.6832	0.6652	0.6661	0.6201	0.6449	0.6671	0.6915	0.6498	0.6361	0.7148	0.6133	0.6190	0.6247	0.6342	0.6158	0.6312	0.6152
Anserine	Anserine	0.4423	0.4732	0.4524	0.4554	0.4674	0.4450	0.4927	0.4760	0.4869	0.4842	0.3241	0.3234	0.3343	0.3124	0.3322	0.3173	0.3729	0.0003	0.0005	0.3545	0.3445	0.3567	0.3304	0.3331	0.3475	0.3149	0.2908	0.0003	0.3387
Arginine	Arginine	0.2636	0.2538	0.2502	0.2758	0.2392	0.2123	0.1688	0.2586	0.2393	0.2588	0.1429	0.1390	0.1898	0.1279	0.2196	0.2478	0.2453	0.2657	0.1877	0.2039	0.2175	0.1837	0.1889	0.1626	0.1881	0.1978	0.1279	0.1637	0.1903
Asparagine	Asparagine	0.0074	0.0062	0.0046	0.0087	0.0089	0.0041	0.0049	0.0075	0.0051	0.0088	0.0036	0.0029	0.0025	0.0040	0.0042	0.0063	0.0058	0.0077	0.0037	0.0050	0.0053	0.0022	0.0054	0.0033	0.0027	0.0029	0.0032	0.0030	0.0060
Aspartate	Aspartic acid	0.0170	0.0112	0.0103	0.0154	0.0152	0.0113	0.0141	0.0151	0.0135	0.0161	0.0070	0.0063	0.0142	0.0130	0.0194	0.0138	0.0109	0.0133	0.0126	0.0104	0.0116	0.0097	0.0106	0.0100	0.0101	0.0126	0.0051	0.0135	0.0092
Carnitine	Carnitine	0.0005	0.0022	0.0013	0.0007	0.0002	0.0009	0.0011	0.0008	0.0079	0.0002	0.0016	0.0017		0.0012	0.0002	0.0025	0.0011	0	0.0006	0.0031	0.0012	0.0013	0.0005	0.0011	0.0004	0.0006	0.0002	0.0001	0.0004
